type;location_lat;location_lon;city_name_en;region_name_en;developer_name;max_area;max_bed_room;max_bathroom;max_price;min_area;project_name;project_type;publish_date;type_1;unit_types_0
marketplaces;24.560109;46.519438;AR RIYADH;Riyadh;شركة المسكن المحدودة;196.54;3;3;780000;177;المسكن ?? - الرياض;offplan_private_land;30/08/22;marketplaces;apartment
marketplaces;24.793165;46.633768;AR RIYADH;Riyadh;شركة جود العمارة للتطوير والاستثمار العقاري;331.01;3;1;2613750;110.8;جلامور - الرياض;offplan_private_land;29/08/22;marketplaces;apartment
marketplaces;24.058337;42.836919;AFIF;Riyadh;;1260;1;3;148871;556.5;مخطط 879  - العيدانية;lands_moh_land;30/06/22;marketplaces;land
marketplaces;18.446355;42.098271;MUHAYIL;'Asir;;551.252;1;2;754052;476.212;مخطط جوهرة محايل - عسير;lands_moh_land;20/01/22;marketplaces;land
marketplaces;24.545443;44.404584;AD DUWADIMI;Riyadh;;945.05;1;3;472767;400;مخطط طيبة العليا - الدوادمي;lands_moh_land;20/01/22;marketplaces;land
marketplaces;26.182713;43.614401;AL BUKAYRIYAH;Qassim;;643.36;1;2;775292;421.31;مخطط زهرة البكيرية - البكيرية;lands_moh_land;20/01/22;marketplaces;land
marketplaces;30.356711;42.249882;AL UWAYQILAH;Northern Borders;;573.2601;1;1;286353;450;مخطط الورود - العويقلية;lands_moh_land;20/01/22;marketplaces;land
marketplaces;19.18114;41.195385;AL QUNFIDHAH;Makkah;;502;1;3;502926;500.9995898;مخطط الرفاة - القنفذة;lands_moh_land;20/01/22;marketplaces;land
marketplaces;16.867972;42.957302;ABU ARISH;Jizan;;779;1;2;420571;600.63;مخطط إسكان أبو عريش - أبو عريش;lands_moh_land;20/01/22;marketplaces;land
marketplaces;22.279591;46.713575;LAYLA;Riyadh;;865.4163;1;2;375131;598.75;مخطط إسكان الأفلاج - الأفلاج;lands_moh_land;20/01/22;marketplaces;land
marketplaces;22.33625;39.822513;AL KAMIL;Makkah;;450;1;1;183221;450;مخطط إسكان الكامل - الكامل;lands_moh_land;20/01/22;marketplaces;land
marketplaces;27.22034;42.446524;ASH SHINAN;Ha'il;;560;1;3;113035;475;مخطط إسكان الشنان - الشنان;lands_moh_land;20/01/22;marketplaces;land
marketplaces;23.792337;38.724246;BADR;Madinah;;450;1;1;801460;450;مخطط إسكان بدر - بدر;lands_moh_land;20/01/22;marketplaces;land
marketplaces;24.54346;43.958677;AD DUWADIMI;Riyadh;;1336.748437;1;2;735526;580.8718982;144 - وادي الرشاء;lands_moh_land;30/06/22;marketplaces;land
marketplaces;27.508793;41.77225;HAIL;Ha'il;;669.31;1;1;348744;421.46;مخطط إسكان حائل - حائل;lands_moh_land;20/01/22;marketplaces;land
marketplaces;27.619375;38.490426;TAYMA';Tabuk;;515.5;1;3;516115;460;مخطط إسكان تيماء - تيماء;lands_moh_land;20/01/22;marketplaces;land
marketplaces;29.807707;40.167496;SAKAKA;Jawf;;777.067;1;2;810846;479.995;مخطط إسكان سكاكا 2 - سكاكا;lands_moh_land;20/01/22;marketplaces;land
marketplaces;26.060963;44.095049;UNAYZAH;Qassim;;541.25;1;2;148445;497;مخطط إسكان عنيزة - عنيزة;lands_moh_land;20/01/22;marketplaces;land
marketplaces;31.013132;41.054961;AR'AR;Northern Borders;;500;1;3;364424;492;مخطط إسكان عرعر - عرعر;lands_moh_land;20/01/22;marketplaces;land
marketplaces;27.019028;47.051472;QARYAT AL 'ULYA;Eastern Province;;1000;1;3;260041;600;مخطط العليا - قرية العليا;lands_moh_land;20/01/22;marketplaces;land
marketplaces;24.098672;45.309165;QUWAY'IYAH;Riyadh;;1065.648077;1;2;762371;500;مخطط روضة الصفا - القويعية;lands_moh_land;20/01/22;marketplaces;land
marketplaces;26.252625;43.911115;BURAYDAH;Qassim;;982.952053;1;2;597867;452.830401;مخطط خب الروضان - بريدة;lands_moh_land;20/01/22;marketplaces;land
marketplaces;17.638249;42.236922;AD DARB;Jizan;;550;1;1;657230;450;مخطط روابي عتود  - الدرب;lands_moh_land;20/01/22;marketplaces;land
marketplaces;17.511119;47.051395;SHARURAH;Najran;;550.0041;1;2;843613;449.9956;مخطط درة شرورة - شرورة;lands_moh_land;20/01/22;marketplaces;land
marketplaces;25.652161;46.365477;THADIQ;Riyadh;;748;1;3;457129;600;مخطط ثادق 717;lands_moh_land;30/06/22;marketplaces;land
marketplaces;18.425191;42.715984;KHAMIS MUSHAYT;'Asir;;706.676121;1;3;871147;376.749647;مخطط درة الخميس - خميس مشيط;lands_moh_land;20/01/22;marketplaces;land
marketplaces;17.522757;44.679211;BIR KHUBASH;Najran;;550;1;3;875528;475;مخطط أزهار الوفاء - خباش;lands_moh_land;20/01/22;marketplaces;land
marketplaces;17.21360696;42.62261421;SABYA;Jizan;;612.5;1;3;354167;411.6;مخطط روضة نخلان - صبيا;lands_moh_land;20/01/22;marketplaces;land
marketplaces;24.953067;46.627008;AR RIYADH;Riyadh;الشركة الوطنية للإسكان;317.5;6;1;1674180;133;مرسية - الرياض;offplan_moh_land;06/01/22;marketplaces;apartment
marketplaces;18.286109;42.513347;ABHA;'Asir;علي شار;500;5;1;1594448;250;تلال أبها - أبها;offplan_moh_land;06/01/22;marketplaces;townhouse
marketplaces;26.526407;49.972012;AL QATIF;Eastern Province;الرائم للمقاولات;213;4;1;410753;213;القطيف البدراني -  القطيف;offplan_moh_land;06/01/22;marketplaces;apartment
marketplaces;26.199053;50.184197;AL KHUBAR;Eastern Province;دار واعمار للاستثمار والتطوير العقاري;319.66;4;3;1025000;200.12;سرايا الغروب  - الخبر;offplan_private_land;06/01/22;marketplaces;villa
marketplaces;26.350694;50.096472;AD DAMMAM;Eastern Province;الرائم للمقاولات;203;3;3;690200;133;عوالي الظهران - الدمام;offplan_private_land;06/01/22;marketplaces;apartment
marketplaces;21.801902;39.046379;JEDDAH;Makkah;شركة الأثير للتطوير والاستثمار العقاري;313.74;4;2;1087940;122.13;أبحر بارك - جدة;offplan_private_land;06/01/22;marketplaces;apartment
marketplaces;24.892575;46.644663;AR RIYADH;Riyadh;دار واعمار للاستثمار والتطوير العقاري;275.4;4;1;1026235;200.1;سرايا النرجس - الرياض;offplan_moh_land;06/01/22;marketplaces;townhouse
marketplaces;24.545152;43.902027;AD DUWADIMI;Riyadh;;736;1;3;453916;595.5;مخطط أ/ 228;lands_moh_land;30/06/22;marketplaces;land
marketplaces;21.463467;40.440576;AT TAIF;Makkah;شركة الفاف للتطوير العقاري;756.35;4;1;1241932;282.4068;تاج المصيف - الطائف;offplan_private_land;06/01/22;marketplaces;villa
marketplaces;24.926167;46.639694;AR RIYADH;Riyadh;عبدالرحمن الراشد وأولاده;485.935;5;2;1421510;200;النرجس فيو - الرياض;offplan_moh_land;06/01/22;marketplaces;townhouse
marketplaces;24.931846;46.645391;AR RIYADH;Riyadh;رتال;418;4;2;1036220;248.5;نساج تاون - الرياض;offplan_moh_land;06/01/22;marketplaces;villa
marketplaces;24.940556;46.638722;AR RIYADH;Riyadh;دار واعمار للاستثمار والتطوير العقاري;375;5;3;1163491;250;سرايا الجوان - الرياض;offplan_moh_land;06/01/22;marketplaces;villa
marketplaces;21.768167;39.184389;JEDDAH;Makkah;شركة الأولى لتطوير العقارات;305.02;4;1;1303527;250;المهندية - جدة;offplan_moh_land;06/01/22;marketplaces;villa
marketplaces;24.9473889;46.6406667;AR RIYADH;Riyadh;ثبات المسكن العقارية;400;5;3;1480676;240;المهندية - الرياض;offplan_moh_land;06/01/22;marketplaces;villa
marketplaces;21.767833;39.182528;JEDDAH;Makkah;مكيون مطورون عمرانيون;263.75;4;1;832821;169.43;سما جدة - جدة;offplan_moh_land;06/01/22;marketplaces;apartment
marketplaces;21.77639;39.18715;JEDDAH;Makkah;شركة سمو العقارية مساهمة مدرجة;337.6;6;2;1224806;200;دار سمو - جدة;offplan_moh_land;06/01/22;marketplaces;townhouse
marketplaces;21.552528;39.283778;JEDDAH;Makkah;شركة درة الذهبية للتطوير العقاري;230;6;3;760000;230;درة الذهبية 25 - جدة;readymade_private_land;06/01/22;marketplaces;apartment
marketplaces;21.539222;39.295556;JEDDAH;Makkah;شركة درة الذهبية للتطوير العقاري;217;6;2;730000;217;درة الذهبية 27 - جدة;readymade_private_land;06/01/22;marketplaces;apartment
marketplaces;27.549589;47.726099;QARYAT AL 'ULYA;Eastern Province;;1460.59;1;3;557854;424.05;مخطط 119/20 - قرية العليا;lands_moh_land;30/06/22;marketplaces;land
marketplaces;24.562336;46.569412;AR RIYADH;Riyadh;شركة مرسى البحار للمقاولات العامة;199.48;5;1;731250;153.1;مارينا ريزدينس - الرياض;offplan_private_land;19/12/21;marketplaces;apartment
marketplaces;21.571694;39.249639;JEDDAH;Makkah;شركة أفاق الذهبية المحدودة;195;3;1;790000;184.8;جواهر الواحة - جدة;offplan_private_land;16/12/21;marketplaces;apartment
marketplaces;21.701096;39.209686;JEDDAH;Makkah;شركة عراب التمليك للتطوير العقاري;215;2;1;650000;107.5;عراب التمليك 101 - 102  - جدة;offplan_private_land;06/12/21;marketplaces;apartment
marketplaces;24.92675;46.878028;AR RIYADH;Riyadh;شركة ساطعة التعمير للتطوير والاستثمار العقاري;520;5;2;2173556;300;أكنان الشرق - الرياض;offplan_private_land;05/12/21;marketplaces;villa
marketplaces;23.363929;45.387554;AR RAYN;Riyadh;;826.79;1;3;438014;431.33;مخطط مركز شلاح - الرين;lands_moh_land;17/11/21;marketplaces;land
marketplaces;26.346025;49.9764004;AD DAMMAM;Eastern Province;شركة تمكين للاستثمار و التطوير العقارى;190.76;4;1;546553;129.67;نعمى - الدمام;offplan_moh_land;16/11/21;marketplaces;apartment
marketplaces;24.1630454;47.259627;AL KHARJ;Riyadh;فرع شركة خطى الخير للتشغيل والصيانة;526.006;4;1;1018813;274.59;الدانة الغربي - الخرج;offplan_private_land;16/11/21;marketplaces;villa
marketplaces;21.500848;39.203381;JEDDAH;Makkah;شركة الحناكي للتطوير العقاري;216;3;1;832464;196;جدة قاردنز - جدة -  شركة الحناكي;offplan_private_land;16/11/21;marketplaces;apartment
marketplaces;26.3659423;50.22649882;AL KHUBAR;Eastern Province;رتال;1061;5;1;4422149;525;أيالا النخيل - الخبر;offplan_private_land;16/11/21;marketplaces;villa
marketplaces;24.7949459;46.80245472;AR RIYADH;Riyadh;شركة فيصل عبدالله بن سعيدان للاستثمار والتطويرالعقاري;162.9;3;2;733050;127.5;اشبيليا - الرياض;offplan_private_land;16/11/21;marketplaces;apartment
marketplaces;26.866979;47.119182;QARYAT AL 'ULYA;Eastern Province;;750;1;3;510951;600;مخطط البويبيات - 47/18;lands_moh_land;30/06/22;marketplaces;land
marketplaces;25.449809;49.651795;AL MUBARRAZ;Eastern Province;شركة مساكن أفياء للتطوير والاستثمار العقاري;401.86;5;1;1440000;226.35;أفياء السكني - الشرقية;offplan_private_land;16/11/21;marketplaces;villa
marketplaces;24.9225062;46.64411679;AR RIYADH;Riyadh;شركة محمد عبدالعزيز الحبيب وشركاؤه للاستثمار العقاري;438;4;1;1789477;249.5;أصالة الجوان - الرياض;offplan_moh_land;16/11/21;marketplaces;townhouse
marketplaces;21.744222;39.202333;JEDDAH;Makkah;شركة دور العقارية للعقارات المحدودة;220.5;3;3;750000;206;الاندلسية - جدة;offplan_private_land;16/11/21;marketplaces;apartment
marketplaces;21.798018;39.097141;JEDDAH;Makkah;مؤسسة لؤلؤة فرسان;333.5;7;2;2100000;287.5;لؤلؤة الفرسان - جدة;offplan_private_land;16/11/21;marketplaces;villa
marketplaces;24.518015;39.688552;AL MADINAH AL MUNAWWARAH;Madinah;شركة دور العقارية للعقارات المحدودة;324;5;1;1025000;125.5;زاهية - المدينة المنورة;offplan_private_land;16/11/21;marketplaces;apartment
marketplaces;21.347889;39.903389;MAKKAH AL MUKARRAMAH;Makkah;شركة ساطعة التعمير للتطوير والاستثمار العقاري;219;4;2;1930470;104;أكنان العوالي - مكة المكرمة;offplan_private_land;16/11/21;marketplaces;apartment
marketplaces;26.219611;50.204833;AL KHUBAR;Eastern Province;الرائم للمقاولات;181;3;3;900000;145;الشروق - الخبر;offplan_private_land;15/11/21;marketplaces;apartment
marketplaces;24.531389;46.635111;AR RIYADH;Riyadh;شركة فيصل عبدالله بن سعيدان للاستثمار والتطويرالعقاري;289.86;4;2;716800;109.74;نزل الحزم - الرياض;offplan_private_land;15/11/21;marketplaces;apartment
marketplaces;24.806442;46.626184;AR RIYADH;Riyadh;شركة جود العمارة للتطوير والاستثمار العقاري;216.66;4;2;1650000;204.94;نزل فاتن - الرياض;offplan_private_land;11/11/21;marketplaces;apartment
marketplaces;26.359721;50.098023;AD DAMMAM;Eastern Province;شركة روض الخزامى للتطوير العقاري;339;5;3;1440000;204;برج روض الخزامى السكني - الدمام;readymade_private_land;02/11/21;marketplaces;apartment
marketplaces;24.606367;43.601602;AD DUWADIMI;Riyadh;;674.2735074;1;1;192707;586.5385416;مخطط الصالحية - 130;lands_moh_land;30/06/22;marketplaces;land
marketplaces;24.48824;39.619506;AL MADINAH AL MUNAWWARAH;Madinah;شركة راج العقارية;217;4;3;729000;119.5;مساكن الروضة - المدينة المنورة;offplan_private_land;01/11/21;marketplaces;apartment
marketplaces;0;0;HAIL;Ha'il;وزارة الإسكان;886.55;3;3;371500;420;إسكان حائل - حائل;readymade_moh_land;28/10/21;marketplaces;villa
marketplaces;22.4104852;39.08236422;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;283.6;3;3;2960209;60.17;مدينة الملك عبدالله الاقتصادية - البيلسان;readymade_private_land;28/10/21;marketplaces;apartment
marketplaces;22.4420678;39.11315639;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;966.87;5;2;2611072;407.69;مدينة الملك عبدالله الاقتصادية - التالة جاردنز 1.3;readymade_private_land;28/10/21;marketplaces;villa
marketplaces;22.4499049;39.09756439;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;1267.31;1;2;1599680;427.4;مدينة الملك عبدالله الاقتصادية - المروج;lands_private_land;28/10/21;marketplaces;land
marketplaces;22.4611687;39.10645949;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;323.6;4;1;1294077.2;69.5;مدينة الملك عبدالله الاقتصادية - الواحة;readymade_private_land;28/10/21;marketplaces;apartment
marketplaces;22.4915935;39.10595949;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;163.2;4;1;693628;62.14;مدينة الملك عبدالله الاقتصادية - الشروق;readymade_private_land;28/10/21;marketplaces;apartment
marketplaces;0;22.44206784;King Abdullah Economic City;Makkah;شركة اعمار المدينة الاقتصادية;793.9;1;2;621428;280;مدينة الملك عبدالله الاقتصادية - التالة جاردنز;lands_private_land;28/10/21;marketplaces;land
marketplaces;21.760861;39.09375;JEDDAH;Makkah;سعيد مسفر الغامدي للتطوير العقاري;345;7;3;2200000;345;نجمة الصفوة - جدة;readymade_private_land;28/10/21;marketplaces;villa
marketplaces;21.576123;39.239075;JEDDAH;Makkah;سندس العقارية;199.6;3;2;858280;134.8;أبراج بوابة التحلية - جدة;offplan_private_land;27/10/21;marketplaces;apartment
marketplaces;23.476689;44.373787;QUWAY'IYAH;Riyadh;;547.56;1;3;888242;340;مخطط 139 القويعية;lands_moh_land;30/06/22;marketplaces;land
marketplaces;24.813338;46.7861705;AR RIYADH;Riyadh;شركة الأشغال العقارية;150.08;3;1;795000;27.5548;هبيتات - الرياض;offplan_private_land;27/10/21;marketplaces;apartment
marketplaces;18.350852;42.746197;KHAMIS MUSHAYT;'Asir;عبدالرحمن الراشد وأولاده;569.725;5;2;901004;262.08;خميس فيو - خميس مشيط;offplan_moh_land;17/10/21;marketplaces;villa
marketplaces;26.373444;50.105694;AD DAMMAM;Eastern Province;الشركة الوطنية للإسكان;874.91;1;2;1992170.07;673.07;أرض الراجحي - الدمام;lands_private_land;13/10/21;marketplaces;land
marketplaces;24.423694;39.688056;AL MADINAH AL MUNAWWARAH;Madinah;شركة دور العقارية للعقارات المحدودة;299.4;4;1;1050000;186.5;جنان السكني - المدينة المنورة;offplan_private_land;30/09/21;marketplaces;apartment
marketplaces;24.539033;39.683141;AL MADINAH AL MUNAWWARAH;Madinah;شركة دور العقارية للعقارات المحدودة;330;4;1;999000;283;أنوار السكني - المدينة المنورة;offplan_private_land;30/09/21;marketplaces;apartment
marketplaces;24.382954;39.670739;AL MADINAH AL MUNAWWARAH;Madinah;شركة قواعد الانماء للإنشاء والتطوير;1346.48;1;1;1855986;210;مخطط الاندلس - المدينة المنورة;lands_private_land;14/09/21;marketplaces;land
marketplaces;26.3490285;50.09392132;AD DAMMAM;Eastern Province;الرائم للمقاولات;182;3;2;819000;153;الفاخرية - الدمام;offplan_private_land;31/08/21;marketplaces;apartment
marketplaces;26.227053;50.204482;AL KHUBAR;Eastern Province;شركة سكنا للتطوير العقاري;161;3;2;685000;90;مجمع أريس السكني - الدمام;offplan_private_land;31/08/21;marketplaces;apartment
marketplaces;26.875936;40.332131;ASH SHAMLI;Ha'il;;585.397;1;1;473635;469.335;مخطط الشملي;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.463522;48.535558;AN NU'AYRIYAH;Eastern Province;;568.23;1;1;509299;450;مشروع  أنوار الخليج - النعيرية;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.72325;42.531835;BAQ'A;Ha'il;;1155;1;1;401126;884.1;مخطط الشعلانية  357/3;lands_moh_land;30/06/22;marketplaces;land
marketplaces;25.515164;47.190506;RUMAH;Riyadh;;500;1;2;717729;495;مشروع إسكان رماح;lands_moh_land;27/08/21;marketplaces;land
marketplaces;17.477711;47.06493;SHARURAH;Najran;;553;1;3;302445;400;مخطط النزهة - شرورة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;18.143111;42.846972;AHAD RIFAYDAH;'Asir;;400;1;2;478998;400;مشروع  نسيم الجبل - أحد رفيدة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;20.158545;40.265307;AL LITH;Makkah;;502.0012117;1;3;571836;500.9985356;الليث;lands_moh_land;27/08/21;marketplaces;land
marketplaces;17.378554;42.448969;BAYSH;Jizan;;536.25;1;3;395623;487.5;بيش 83;lands_moh_land;27/08/21;marketplaces;land
marketplaces;18.558944;44.192556;YADAMAH;Najran;;711;1;3;864822;456.06;مخطط أصيل اللجام - يدمة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;21.37055;40.620688;AT TAIF;Makkah;;450;1;3;174025;450;وادي جليل;lands_moh_land;27/08/21;marketplaces;land
marketplaces;19.950418;42.599198;BISHAH;'Asir;;550.41;1;3;135031;450;مشروع الزهور - بيشة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;28.431806;48.435944;AL KHAFJI;Eastern Province;;633.12;1;3;422058;423.41;مشروع جوهرة الخفجي;lands_moh_land;27/08/21;marketplaces;land
marketplaces;20.415434;44.918593;WADI AD DAWASIR;Riyadh;;500;1;1;168417;500;مشروع منتزه الوادي - وادي الدواسر;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.101857;47.015506;QARYAT AL 'ULYA;Eastern Province;;1246.97;1;2;515153;575.49;مخطط ش.ع 172 الرفاع;lands_moh_land;30/06/22;marketplaces;land
marketplaces;17.375429;42.424493;BAYSH;Jizan;;686.69;1;3;293828;489.6;مخطط لؤلؤة الشاطئ;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.849254;42.455576;BAQ'A;Ha'il;;1107.199124;1;2;166478;472.088256;موقع بقعاء 2;lands_moh_land;27/08/21;marketplaces;land
marketplaces;16.69472;42.103619;FARASAN;Jizan;;531;1;2;803356;480;مشروع  شاطئ فرسان;lands_moh_land;27/08/21;marketplaces;land
marketplaces;25.8865;45.39775;AL MAJMA'AH;Riyadh;;529.765;1;1;388803;475;مشروع الملتقى - المجمعة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.278117;41.373561;AS SULAYMI;Ha'il;;584.586;1;3;501049;491.252;مشروع الروابي - حائل;lands_moh_land;27/08/21;marketplaces;land
marketplaces;20.00213;42.690259;BISHAH;'Asir;;660.8547741;1;3;842909;437.498692;مشروع  نسيم الريان - بيشة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.055917;44.102333;UNAYZAH;Qassim;;600;1;1;300632;230;مخطط العوشزية;lands_moh_land;27/08/21;marketplaces;land
marketplaces;19.993763;42.683601;BISHAH;'Asir;;911.497724;1;3;245565;626.481789;مشروع  لؤلؤة الريان - بيشة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;20.488854;45.567513;AS SULAYYIL;Riyadh;;661;1;3;770249;400;مشروع  بساتين السليل;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.472374;43.643891;UYUN AL JAWA';Qassim;;1125.001779;1;1;245541;479.998284;مشروع درة العيون - عيون الجواء;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.648333;50.004139;AL QATIF;Eastern Province;رتال;421;4;1;1518503;250;نساج تاون صفوى - القطيف;offplan_moh_land;28/08/22;marketplaces;villa
marketplaces;22.489212;40.438325;AT TAIF;Makkah;;1224.75043;1;3;451583;599.8777618;مخطط 1082;lands_moh_land;30/06/22;marketplaces;land
marketplaces;19.989785;42.697259;BISHAH;'Asir;;993.011933;1;3;363513;599.998065;مخطط زهور الريان;lands_moh_land;27/08/21;marketplaces;land
